,bt_pt-O,bt_pt-A,bt_pt-B,bt_pt-AB
0,1.0,0.0,0.0,0.0
1,1.0,0.0,0.0,0.0
2,1.0,0.0,0.0,0.0
3,1.0,0.0,0.0,0.0
4,1.0,0.0,0.0,0.0
5,1.0,0.0,0.0,0.0
6,1.0,0.0,0.0,0.0
7,1.0,0.0,0.0,0.0
8,1.0,0.0,0.0,0.0
9,1.0,0.0,0.0,0.0
10,1.0,0.0,0.0,0.0
11,1.0,0.0,0.0,0.0
12,1.0,0.0,0.0,0.0
13,1.0,0.0,0.0,0.0
14,1.0,0.0,0.0,0.0
15,1.0,0.0,0.0,0.0
16,1.0,0.0,0.0,0.0
17,1.0,0.0,0.0,0.0
18,1.0,0.0,0.0,0.0
19,1.0,0.0,0.0,0.0
20,1.0,0.0,0.0,0.0
21,1.0,0.0,0.0,0.0
22,1.0,0.0,0.0,0.0
23,1.0,0.0,0.0,0.0
24,1.0,0.0,0.0,0.0
25,1.0,0.0,0.0,0.0
26,1.0,0.0,0.0,0.0
27,1.0,0.0,0.0,0.0
28,1.0,0.0,0.0,0.0
29,1.0,0.0,0.0,0.0
30,1.0,0.0,0.0,0.0
31,1.0,0.0,0.0,0.0
32,1.0,0.0,0.0,0.0
33,1.0,0.0,0.0,0.0
34,1.0,0.0,0.0,0.0
35,1.0,0.0,0.0,0.0
36,1.0,0.0,0.0,0.0
37,1.0,0.0,0.0,0.0
38,1.0,0.0,0.0,0.0
39,1.0,0.0,0.0,0.0
40,1.0,0.0,0.0,0.0
41,1.0,0.0,0.0,0.0
42,1.0,0.0,0.0,0.0
43,1.0,0.0,0.0,0.0
44,1.0,0.0,0.0,0.0
45,1.0,0.0,0.0,0.0
46,1.0,0.0,0.0,0.0
47,1.0,0.0,0.0,0.0
48,1.0,0.0,0.0,0.0
49,1.0,0.0,0.0,0.0
50,1.0,0.0,0.0,0.0
51,1.0,0.0,0.0,0.0
52,1.0,0.0,0.0,0.0
53,1.0,0.0,0.0,0.0
54,1.0,0.0,0.0,0.0
55,1.0,0.0,0.0,0.0
56,1.0,0.0,0.0,0.0
57,1.0,0.0,0.0,0.0
58,1.0,0.0,0.0,0.0
59,1.0,0.0,0.0,0.0
60,1.0,0.0,0.0,0.0
61,1.0,0.0,0.0,0.0
62,1.0,0.0,0.0,0.0
63,1.0,0.0,0.0,0.0
64,1.0,0.0,0.0,0.0
65,1.0,0.0,0.0,0.0
66,1.0,0.0,0.0,0.0
67,1.0,0.0,0.0,0.0
68,1.0,0.0,0.0,0.0
69,1.0,0.0,0.0,0.0
70,1.0,0.0,0.0,0.0
71,1.0,0.0,0.0,0.0
72,1.0,0.0,0.0,0.0
73,1.0,0.0,0.0,0.0
74,1.0,0.0,0.0,0.0
75,1.0,0.0,0.0,0.0
76,1.0,0.0,0.0,0.0
77,1.0,0.0,0.0,0.0
78,1.0,0.0,0.0,0.0
79,1.0,0.0,0.0,0.0
80,1.0,0.0,0.0,0.0
81,1.0,0.0,0.0,0.0
82,1.0,0.0,0.0,0.0
83,1.0,0.0,0.0,0.0
84,1.0,0.0,0.0,0.0
85,1.0,0.0,0.0,0.0
86,1.0,0.0,0.0,0.0
87,1.0,0.0,0.0,0.0
88,1.0,0.0,0.0,0.0
89,1.0,0.0,0.0,0.0
90,1.0,0.0,0.0,0.0
91,1.0,0.0,0.0,0.0
92,1.0,0.0,0.0,0.0
93,1.0,0.0,0.0,0.0
94,1.0,0.0,0.0,0.0
95,1.0,0.0,0.0,0.0
96,1.0,0.0,0.0,0.0
97,1.0,0.0,0.0,0.0
98,1.0,0.0,0.0,0.0
99,1.0,0.0,0.0,0.0
100,0.9828065990856688,0.017193400914331147,0.0,0.0
101,0.9656166153234622,0.034383384676537815,0.0,0.0
102,0.9484771699706861,0.03433199185174144,0.017190838177572415,0.0
103,0.9312931591236524,0.03432858065477669,0.03437826022157087,0.0
104,0.9313959264778937,0.03432687531048187,0.03427719821162444,0.0
105,0.9314524140671567,0.03427379296642162,0.03427379296642162,0.0
106,0.9315054885014653,0.03427209059752645,0.03422242090100829,0.0
107,0.9315122920288056,0.03431835112987335,0.03416935684132108,0.0
108,0.9316150178784267,0.03431664680174811,0.034068335319825185,0.0
109,0.9316714668785381,0.034313238653292284,0.03401529446816963,0.0
110,0.9316252048264562,0.034361189731367,0.034013605442176874,0.0
111,0.9316285998013902,0.034409136047666336,0.033962264150943396,0.0
112,0.9316319944392036,0.03445707760289956,0.033910927957896825,0.0
113,0.931685036242677,0.03450501439777579,0.03380994935954722,0.0
114,0.9317380727796257,0.03450330139502557,0.033758625825348755,0.0
115,0.931741461477363,0.034451945988880066,0.03380659253375695,0.0
116,0.9317944899478778,0.03435095557210226,0.03385455448001986,0.0
117,0.9315496872828353,0.034547801052318076,0.03390251166484662,0.0
118,0.9315034496451085,0.034595721447361893,0.033900828907529656,0.0
119,0.9314075838792932,0.034594004367679176,0.0339984117530276,0.0
120,0.9307161645739243,0.03528711102287955,0.03399672440319619,0.0
121,0.9286352357320099,0.0373697270471464,0.033995037220843675,0.0
122,0.9270011413825616,0.03875738176765421,0.03424147684978413,0.0
123,0.9232486604485017,0.04043461004167494,0.03621750347291129,9.922603691208574e-05
124,0.9204404543425425,0.04176380139874014,0.03759734140171619,0.00019840285700114082
125,0.9179311712783894,0.04304274521471784,0.03872855301001686,0.0002975304968759298
126,0.9136469538492044,0.04506022901898577,0.04084667625043375,0.00044614088137609676
127,0.9102081268582756,0.04638255698711596,0.042814667988107034,0.0005946481665014867
128,0.9072890342401269,0.04771815073584064,0.044398196323274366,0.0005946187007581388
129,0.9048256044391597,0.04875148632580262,0.045778834720570746,0.0006440745144669045
130,0.9014314725840804,0.0503739660211006,0.04745158254495022,0.0007429788498687404
131,0.8974447855798752,0.05303555511538081,0.048677825096563335,0.0008418342081806477
132,0.8943902559786107,0.05495865722632074,0.04975986532653364,0.0008912214685349309
133,0.8906822457669076,0.056985840182196254,0.051440736706604616,0.000891177344291514
134,0.8867382802831543,0.059452502351368744,0.05286866986782832,0.0009405474976486313
135,0.8831303831303832,0.06118206118206118,0.05474705474705475,0.0009405009405009405
136,0.8792617150774408,0.0630412192587461,0.05660844178336385,0.0010886238804493048
137,0.8752411575562701,0.06510017313875835,0.05847143210487262,0.0011872372000989364
138,0.8715260607259421,0.06700623083770152,0.06013252892888933,0.0013351795074671151
139,0.8674543926434963,0.06896722202995996,0.06214465813022198,0.0014337271963217482
140,0.8644453233142179,0.07005141388174807,0.06406960648605893,0.0014336563179750841
141,0.8622769291611053,0.07029512086608335,0.0659943645261753,0.0014335854466360177
142,0.8607019278299555,0.07058823529411765,0.06727632229362333,0.0014335145823035095
143,0.8605179913009094,0.07097667062079874,0.0670719652036378,0.0014333728746540135
144,0.8599812188009687,0.07131913211090793,0.06726634705678841,0.0014333020313349479
145,0.8595927646535534,0.07156271622022338,0.0674112879312049,0.0014332311950182861
146,0.8589642221782962,0.07200039533504646,0.06760229294326942,0.0014330895433880214
147,0.8583288036764343,0.07268863962049711,0.0675495379749963,0.0014330187280723427
148,0.8574040219378428,0.07332378081921044,0.06783932012451208,0.0014328771184347053
149,0.8558794466403162,0.07440711462450593,0.06828063241106719,0.001432806324110672
