,bt_pt-O,bt_pt-A,bt_pt-B,bt_pt-AB
0,1.0,0.0,0.0,0.0
1,1.0,0.0,0.0,0.0
2,1.0,0.0,0.0,0.0
3,1.0,0.0,0.0,0.0
4,1.0,0.0,0.0,0.0
5,1.0,0.0,0.0,0.0
6,1.0,0.0,0.0,0.0
7,1.0,0.0,0.0,0.0
8,1.0,0.0,0.0,0.0
9,1.0,0.0,0.0,0.0
10,1.0,0.0,0.0,0.0
11,1.0,0.0,0.0,0.0
12,1.0,0.0,0.0,0.0
13,1.0,0.0,0.0,0.0
14,1.0,0.0,0.0,0.0
15,1.0,0.0,0.0,0.0
16,1.0,0.0,0.0,0.0
17,1.0,0.0,0.0,0.0
18,1.0,0.0,0.0,0.0
19,1.0,0.0,0.0,0.0
20,1.0,0.0,0.0,0.0
21,1.0,0.0,0.0,0.0
22,1.0,0.0,0.0,0.0
23,1.0,0.0,0.0,0.0
24,1.0,0.0,0.0,0.0
25,1.0,0.0,0.0,0.0
26,1.0,0.0,0.0,0.0
27,1.0,0.0,0.0,0.0
28,1.0,0.0,0.0,0.0
29,1.0,0.0,0.0,0.0
30,1.0,0.0,0.0,0.0
31,1.0,0.0,0.0,0.0
32,1.0,0.0,0.0,0.0
33,1.0,0.0,0.0,0.0
34,1.0,0.0,0.0,0.0
35,1.0,0.0,0.0,0.0
36,1.0,0.0,0.0,0.0
37,1.0,0.0,0.0,0.0
38,1.0,0.0,0.0,0.0
39,1.0,0.0,0.0,0.0
40,1.0,0.0,0.0,0.0
41,1.0,0.0,0.0,0.0
42,1.0,0.0,0.0,0.0
43,1.0,0.0,0.0,0.0
44,1.0,0.0,0.0,0.0
45,1.0,0.0,0.0,0.0
46,1.0,0.0,0.0,0.0
47,1.0,0.0,0.0,0.0
48,1.0,0.0,0.0,0.0
49,1.0,0.0,0.0,0.0
50,1.0,0.0,0.0,0.0
51,1.0,0.0,0.0,0.0
52,1.0,0.0,0.0,0.0
53,1.0,0.0,0.0,0.0
54,1.0,0.0,0.0,0.0
55,1.0,0.0,0.0,0.0
56,1.0,0.0,0.0,0.0
57,1.0,0.0,0.0,0.0
58,1.0,0.0,0.0,0.0
59,1.0,0.0,0.0,0.0
60,1.0,0.0,0.0,0.0
61,1.0,0.0,0.0,0.0
62,1.0,0.0,0.0,0.0
63,1.0,0.0,0.0,0.0
64,1.0,0.0,0.0,0.0
65,1.0,0.0,0.0,0.0
66,1.0,0.0,0.0,0.0
67,1.0,0.0,0.0,0.0
68,1.0,0.0,0.0,0.0
69,1.0,0.0,0.0,0.0
70,1.0,0.0,0.0,0.0
71,1.0,0.0,0.0,0.0
72,1.0,0.0,0.0,0.0
73,1.0,0.0,0.0,0.0
74,1.0,0.0,0.0,0.0
75,1.0,0.0,0.0,0.0
76,1.0,0.0,0.0,0.0
77,1.0,0.0,0.0,0.0
78,1.0,0.0,0.0,0.0
79,1.0,0.0,0.0,0.0
80,1.0,0.0,0.0,0.0
81,1.0,0.0,0.0,0.0
82,1.0,0.0,0.0,0.0
83,1.0,0.0,0.0,0.0
84,1.0,0.0,0.0,0.0
85,1.0,0.0,0.0,0.0
86,1.0,0.0,0.0,0.0
87,1.0,0.0,0.0,0.0
88,1.0,0.0,0.0,0.0
89,1.0,0.0,0.0,0.0
90,1.0,0.0,0.0,0.0
91,1.0,0.0,0.0,0.0
92,1.0,0.0,0.0,0.0
93,1.0,0.0,0.0,0.0
94,1.0,0.0,0.0,0.0
95,1.0,0.0,0.0,0.0
96,1.0,0.0,0.0,0.0
97,1.0,0.0,0.0,0.0
98,1.0,0.0,0.0,0.0
99,1.0,0.0,0.0,0.0
100,0.985785746124511,0.01421425387548908,0.0,0.0
101,0.9715743079284901,0.02842569207150993,0.0,0.0
102,0.95736568457539,0.042634315424610054,0.0,0.0
103,0.9431598752289944,0.05684012477100559,0.0,0.0
104,0.9289568790534185,0.07104312094658151,0.0,0.0
105,0.9147566952131083,0.07103608732240978,0.014207217464481956,0.0
106,0.9005593228728407,0.07102905509082809,0.028411622036331238,0.0
107,0.8863647611977233,0.07102202425142291,0.04261321455085375,0.0
108,0.8721730093531944,0.07101499480378087,0.056811995843024696,0.0
109,0.8580335494086793,0.07100796674748874,0.07095848384383195,0.0
110,0.8580475978427589,0.07100094008213349,0.07095146207510762,0.0
111,0.8581111166081234,0.07094444169593826,0.07094444169593826,0.0
112,0.8581251545881771,0.07098689092258224,0.07088795448924066,0.0
113,0.857990799821932,0.07107879507345304,0.07093040510461493,0.0
114,0.8580048469261585,0.07117068104258371,0.07082447203125773,0.0
115,0.8579694377132684,0.07126254883536917,0.07076801345136244,0.0
116,0.857934035504129,0.07125550116204322,0.07081046333382782,0.0
117,0.8577503090234858,0.07139678615574784,0.07085290482076638,0.0
118,0.8575736602728891,0.07158394304923868,0.07084239667787226,0.0
119,0.8575947802876773,0.07157332806089664,0.07083189165142603,0.0
120,0.8567615658362989,0.07236061684460261,0.07087781731909845,0.0
121,0.8554907581298804,0.07363843036473262,0.07087081150538697,0.0
122,0.8535777821703894,0.07560782763391975,0.07081439019569084,0.0
123,0.8515590255472649,0.0775806690715027,0.07086030538123239,0.0
124,0.8489624505928853,0.08013833992094861,0.070899209486166,0.0
125,0.8453445295134601,0.08332921709063966,0.07122746357125216,9.878982464806126e-05
126,0.8421728395061728,0.08548148148148148,0.07219753086419753,0.00014814814814814815
127,0.8372655478775913,0.08884501480750247,0.07354392892398816,0.00034550839091806513
128,0.8325604341391218,0.09121854958066107,0.07567834237789837,0.0005426739023186975
129,0.8276542235810445,0.09359435869618818,0.07806104837516643,0.0006903693476009665
130,0.8224685883222469,0.09588568612958857,0.0806109879280611,0.0010347376201034738
131,0.8158140908867116,0.09950273250947762,0.0833046132637487,0.0013785633400620354
132,0.8087606312374023,0.10255149697654982,0.08662307654490929,0.002064795241138587
133,0.802368433983588,0.10628470345437571,0.08908653137437963,0.0022603311876566263
134,0.7961408160259242,0.10998183335788285,0.09127510188049295,0.0026022487356999065
135,0.7903803680981595,0.11337423312883435,0.09349693251533742,0.0027484662576687116
136,0.7829730921923247,0.11699259912757928,0.09665245307062686,0.0033818556094691956
137,0.7754612636421475,0.12034454069397543,0.10013213918660989,0.0040620564772671655
138,0.7688884542031396,0.12377133356154335,0.1029390190229351,0.004401193212382024
139,0.7622049552851488,0.12705859355910668,0.10604505693202365,0.004691394223720862
140,0.7549655946513103,0.12991069249914597,0.10980430432872969,0.005319408520814016
141,0.7481589856132651,0.13274811021702024,0.11348451597171422,0.005608388198000487
142,0.7421665610837679,0.1345938307100044,0.1172944788265679,0.00594512937965986
143,0.7379108838568298,0.13591429267104943,0.11994156318480642,0.006233260287314342
144,0.7337033250572027,0.1365561559807215,0.12341171315904775,0.00632880580302809
145,0.7302769260719326,0.13739232004672214,0.1259064583637514,0.006424295517593809
146,0.7272417651924293,0.13847126940106066,0.12776723592662872,0.006519729479881282
147,0.723938317847935,0.13961181106192538,0.12988276499489226,0.006567106095247361
148,0.7217547784640825,0.1407032731871018,0.1309274840717864,0.006614464277029327
149,0.7206146962991782,0.14141905364003307,0.13135242912026454,0.006613820940524243
150,0.7188001361271816,0.14269045651222714,0.13180028197773347,0.0067091253828576985
